Country,CountryID,Continent,Adolescent fertility rate (in percent),Adult literacy rate (in percent),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (in percent),Net primary school enrolment ratio male (in percent),Population (in thousands) total,Population annual growth rate (in percent),Population in urban areas (in percent),Population living below the povertyline,Population median age (years),Population proportion over 60 (in percent),Population proportion under 15 (in percent),Registration coverage of births (in percent),Total fertility rate (per woman),Antenatal care coverage _ at least four visits (in percent),Antiretroviral therapy coverage ,Antiretroviral therapy,Births attended by skilled ,Births by caesarean section (in percent),Children aged 6_59 months who received vitamin A
Pakistan,138,7,24,49.9,2410,57,73,160943,1.8,35,17,21,6,36,,3.6,14,,1,54,,
Palau,139,6,,,14340,94,98,20,0.5,70,,,6,32,90,2.5,,,,100,,
Panama,140,5,84,91.9,8690,98,99,3288,1.7,72,7.4,26,9,30,90,2.6,,,42,91,,
Papua New Guinea,141,6,77,57.3,1630,,,6202,2.2,13,,20,4,40,,4,,,26,38,,
Paraguay,142,5,65,93.2,4040,95,94,6016,1.9,59,13.6,22,7,35,,3.2,79,,25,100,,
Peru,143,5,59,87.9,6490,97,96,27589,1.1,73,10.5,25,8,31,90,2.5,87,,42,73,13,
Philippines,144,6,55,92.6,3430,92,90,86264,2,63,14.8,22,6,36,83,3.3,70,,24,60,7,76
Poland,145,2,14,,14250,96,96,38140,-0.1,62,2,37,17,16,90,1.2,,,38,100,,
Portugal,146,2,19,93.9,19960,98,98,10579,0.5,58,,39,22,16,90,1.5,,,,100,30,
Puerto Rico,147,5,,,,,,,,,,,,,,,,,,,,
Qatar,148,1,19,89,,94,93,821,3.1,96,,31,3,21,90,2.7,,,,100,,
Romania,149,2,33,97.3,10150,93,93,21532,-0.4,54,2,37,19,15,90,1.3,76,,81,99,,
Russia,150,2,28,99.4,12740,91,91,143221,-0.5,73,2,37,17,15,90,1.3,,,10,100,,
Rwanda,151,3,44,64.9,730,81,76,9464,2.5,20,60.3,18,4,43,82,6,13,55,52,28,3,84.1
Saint Kitts and Nevis,152,5,,,12440,78,64,50,1.3,33,,,11,28,,2.3,,,,100,,
Saint Lucia,153,5,51,,8500,97,99,163,1.1,28,,26,10,27,90,2.2,,,,100,,
Saint Vincent and the Grenadines,154,5,71,,6220,88,92,120,0.5,46,,25,9,29,90,2.2,,,,100,,
Samoa,155,6,45,98.6,5090,91,90,185,0.8,23,,20,7,40,90,4.1,,,,100,,
San Marino,156,2,,,,,,31,1.4,93,,,26,14,90,1.3,,,,,,
